,app_num,1,pub_num
328,12845604,407624,8087422
329,12300770,410534,8087423
330,12157334,410925,8087424
331,11487913,411218,8087425
332,12425722,411652,8087426
333,11276493,412901,8087427
334,11999941,413244,8087428
335,11602464,413591,8087429
336,12393731,416743,8087430
337,12786337,417175,8087431
338,12079465,417469,8087432
339,12637514,417893,8087433
340,11828462,418630,8087434
341,12256836,418913,8087435
342,11845288,419148,8087436
343,12555250,419589,8087437
344,12799915,420978,8087438
345,12456251,428814,8087439
346,11578318,429117,8087440
347,12570250,429864,8087441
348,12441065,430098,8087442
349,12167885,430493,8087443
350,11951901,432237,8087444
351,12489975,433400,8087445
352,11999599,434210,8087446
353,11589581,436832,8087447
354,12867848,437130,8087448
355,12791094,437420,8087449
356,12021927,437746,8087450
357,12917838,439986,8087451
358,11230258,440453,8087452
359,11964610,440960,8087453
360,11574184,441116,8087454
361,12281344,441537,8087455
362,12073720,441898,8087456
363,12065159,442448,8087457
364,12555026,442782,8087458
365,12415571,443133,8087459
366,12074899,444028,8087460
367,12236649,450636,8087461
368,12859897,451095,8087462
369,12352901,451367,8087463
370,12035059,452250,8087464
371,12069942,452846,8087465
372,11884970,453387,8087466
373,11266973,453848,8087467
374,12890321,454814,8087468
375,12384818,455188,8087469
376,12495121,455618,8087470
377,12495379,456277,8087471
378,12533280,456924,8087472
379,12783943,457336,8087473
380,12450615,457758,8087474
381,11291834,458181,8087475
382,12398983,458596,8087476
383,12435729,459333,8087477
384,12478806,459800,8087478
385,12535326,460541,8087479
386,12094028,461490,8087480
387,11846660,461994,8087481
388,12827137,462288,8087482
389,12471640,467850,8087483
390,12064983,468429,8087484
391,11961103,468889,8087485
392,12498524,469244,8087486
393,12269261,469502,8087487
394,11911673,470386,8087488
395,12513989,471011,8087489
396,12648421,471363,8087490
397,12684161,471807,8087491
398,12719607,472606,8087492
399,12903793,473445,8087493
400,12894326,473909,8087494
401,10524122,474696,8087495
402,12396501,475004,8087496
403,11718266,475387,8087497
404,10553579,476264,8087498
405,11825295,476605,8087499
406,12518517,476921,8087500
407,12271988,477306,8087501
408,12416987,477552,8087502
409,12266503,477798,8087503
410,12274760,478039,8087504
411,12262162,478309,8087505
412,12306974,478612,8087506
413,12323891,478852,8087507
414,12296451,479230,8087508
415,12497740,479580,8087509
416,12302063,479918,8087510
417,11872439,480525,8087511
418,12821657,481096,8087512
419,12722197,482955,8087513
420,12317169,483461,8087514
421,12397714,483907,8087515
422,12477014,484365,8087516
423,12158696,484659,8087517
424,12891036,484985,8087518
425,12455450,485344,8087519
426,12589720,485978,8087520
427,13118834,486377,8087521
428,12257252,487191,8087522
429,12084717,488395,8087523
430,11664616,488745,8087524
431,11529486,489079,8087525
432,11607588,490115,8087526
433,12199290,490447,8087527
434,12011591,491087,8087528
435,11667358,491708,8087529
436,12015680,492152,8087530
437,12217348,492538,8087531
438,12355346,492742,8087532
439,11752696,494055,8087533
440,11235029,495731,8087534
441,11803658,496262,8087535
442,10523878,496568,8087536
443,12311907,496974,8087537
444,12554442,497416,8087538
445,11890915,497697,8087539
446,12425180,499127,8087540
447,12444737,500536,8087541
448,11981781,500859,8087542
449,11670380,501194,8087543
450,11508359,502347,8087544
451,12901732,502764,8087545
452,12259443,503050,8087546
453,08869616,503441,8087547
454,12152311,504187,8087548
